subject_1 	 sack_subject_1 	 s 	 9420.237718089887 hertz 	 3480.280788769571 hertz 	 1.3535412503758346 	 0.4229174389523032 	 0.18556725339315727 seconds 	 0.04112724948792113 Pascal
subject_1 	 sad_subject_1 	 s 	 8985.2690027762 hertz 	 3666.327487488918 hertz 	 0.8968401789468352 	 0.1615907964559379 	 0.17507581857234267 seconds 	 0.032229204857005526 Pascal
subject_1 	 sap_subject_1 	 s 	 8362.831116218014 hertz 	 3330.9778035493173 hertz 	 1.811165302212772 	 0.4472524093765846 	 0.17976670048741838 seconds 	 0.030610657559797385 Pascal
subject_1 	 sat_subject_1 	 s 	 9318.265450934863 hertz 	 3487.9272346318216 hertz 	 0.9783435461091754 	 0.40699473701576244 	 0.1980762718333593 seconds 	 0.04160192410561044 Pascal
subject_1 	 sax_subject_1 	 s 	 9070.43076161396 hertz 	 3770.248610567911 hertz 	 0.5560793293695228 	 0.43137382175874794 	 0.16170932709390107 seconds 	 0.036179929424214496 Pascal
subject_1 	 scent_subject_1 	 s 	 9504.413908468498 hertz 	 3554.9130114187205 hertz 	 0.5606810623254259 	 0.3913807471389305 	 0.1744201038960418 seconds 	 0.05039997673779925 Pascal
subject_1 	 seal_subject_1 	 s 	 8076.092396532562 hertz 	 3110.3488838985472 hertz 	 2.857359873473122 	 0.6027051151476732 	 0.2060457271299394 seconds 	 0.07734045508002721 Pascal
subject_1 	 seat_subject_1 	 s 	 9184.931385041049 hertz 	 3357.073339042083 hertz 	 1.1601025334542054 	 0.44233845678639044 	 0.21487265546475942 seconds 	 0.04814488431418792 Pascal
subject_1 	 see_subject_1 	 s 	 7815.360226585038 hertz 	 3309.3696872711485 hertz 	 2.0249357145795788 	 0.9227270919368966 	 0.20760935443496475 seconds 	 0.04089276524004227 Pascal
subject_1 	 seek_subject_1 	 s 	 9035.33853900156 hertz 	 3276.209523645122 hertz 	 1.3486884431922794 	 0.6856084575213383 	 0.20982869641629087 seconds 	 0.07250110357859058 Pascal
subject_1 	 seem_subject_1 	 s 	 8275.864380296794 hertz 	 3739.1275514463427 hertz 	 1.0318498852974312 	 0.6575908662220693 	 0.19419242336603837 seconds 	 0.03509417566556951 Pascal
subject_1 	 self_subject_1 	 s 	 9430.421933483187 hertz 	 3715.9662052480567 hertz 	 0.4444846010124053 	 0.4952101093672831 	 0.15661492845494784 seconds 	 0.04148565172798484 Pascal
subject_1 	 sell_subject_1 	 s 	 9699.771006881805 hertz 	 3603.3941524067473 hertz 	 0.6275132065229556 	 0.32215840087120917 	 0.2549721299000842 seconds 	 0.040418396306530775 Pascal
subject_1 	 send_subject_1 	 s 	 8432.18998979187 hertz 	 3721.077804773808 hertz 	 0.9832313790672194 	 0.4239691933931469 	 0.20851726706368912 seconds 	 0.028448800377331534 Pascal
subject_1 	 set_subject_1 	 s 	 9275.327940509951 hertz 	 3584.066584410265 hertz 	 0.7384735490121441 	 0.580497511549174 	 0.18914846431756982 seconds 	 0.06460657213982077 Pascal
subject_1 	 sick_subject_1 	 s 	 9449.565826505699 hertz 	 3263.924325375793 hertz 	 1.009950868992454 	 0.5346287443932576 	 0.20821462952078085 seconds 	 0.0658970509176211 Pascal
subject_1 	 side_subject_1 	 s 	 9389.735693828106 hertz 	 3762.1505320120896 hertz 	 0.47346749023932544 	 0.17385484525610928 	 0.15933866634112093 seconds 	 0.03548371904947845 Pascal
subject_1 	 sigh_subject_1 	 s 	 8022.238956305363 hertz 	 3397.9549488953985 hertz 	 1.8793470711843447 	 0.5691182601561643 	 0.15081437554920907 seconds 	 0.024990863497920283 Pascal
